"ColorID","Codigo","Color","Replica"
0,,"SIN COLOR","0"
1,"01","BLANCO","0"
2,"03","CRUDO","0"
3,"10","NEGRO","0"
4,"23","CELESTE","0"
5,"24","TURQUESA","0"
6,"25","AERO","0"
7,"30","VERDE","0"
8,"33","DEW","0"
9,"40","ROJO","0"
10,"42","ROSA","0"
11,"62","BEIGE","0"
12,"64","ARENA","0"
13,"71","LILA","0"
14,"90","DENIM","0"
15,"14","CEMENTO","0"
16,"44","FUCSIA","0"
17,"51","MAIZ","0"
18,"02","NATURAL","0"
19,"20","AZUL","0"
20,"21","AZUL MARINO","0"
21,"27","EDEN","0"
22,"31","VERDE MILITAR","0"
23,"36","BOGGIE","0"
24,"65","CHOCOLOTE","0"
25,"A1","FLOR BORDADA BCO/CELESTE","0"
26,"A2","FLOR BORDADA BCO/ROSA","0"
27,"11","GRIS","0"
28,"13","PIEDRA","0"
29,"50","AMARILLO","0"
30,"61","CAMEL","0"
31,"63","TOSTADO","0"
32,"66","GAMUZA","0"
33,"67","KAKHI","0"
34,"73","UVA","0"
39,"00","SIN COLOR","0"
48,"12","GRIS TOPO","0"
52,"22","AZULINO","0"
53,"26","PASTEL","0"
59,"32","VERDE OLIVA","0"
60,"34","MALVA","0"
61,"35","PLATANO","0"
69,"41","BORDO","0"
70,"43","CHICLE","0"
77,"52","NARANJA","0"
78,"53","PATITO","0"
85,"60","MARRON","0"
88,"70","VIOLETA","0"
89,"72","OBISPO","0"
102,"91","LOCAL.7%","0"
103,"92","ESTATICO","0"
104,"94","DIRTY","0"
134,"93","LOCALIZADO","0"
135,"54","AMARILLO LIMON","0"
136,"45","ROSA VIEJO","0"
137,"57","AMARILLO PASTEL","0"
138,"46","CORAL","0"
139,"15","HUMO","0"
